"Family","Genus","Species","Taxon","Common Name","Native Status","effectm partm of this plant.","Lifeform","Duration","July High Temp","Dec Low Temp","Temp Range","Lower Elevation","Upper Elevation","Start Bloom Month","End Bloom Month","Calrecnum"
"CAMPANULACEAE","Lobelia","dunnii","Lobelia dunnii","Dunn's lobelia","native","Possible skin irritation from touching any part of this plant.","Perennial herb","Perennial","92","34","53","10","2280","7","10","10073"
"CAMPANULACEAE","Lobelia","dunnii","Lobelia dunnii var. serrata","Dunn's lobelia","native","Possible skin irritation from touching any part of this plant.","Perennial herb","Perennial","92","34","54","40","2280","7","10","4938"
"CAMPANULACEAE","Lobelia","erinus","Lobelia erinus","Edging lobelia","non-native","Possible skin irritation from touching any part of this plant.","Annual herb","Annual","87","40","43","5","290","4","4","8515"
"AMARYLLIDACEAE","Narcissus","tazetta","Narcissus tazetta","Cream narcissus","non-native","Possible skin irritation from touching the underground parts of this plant.<br>Do not eat the underground parts of this plant.","Perennial herb (bulb)","Perennial","89","38","49","5","1370","","","8638"
"OXALIDACEAE","Oxalis","articulata","Oxalis articulata ssp. rubra","Windowbox woodsorrel","non-native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb","Perennial","92","38","55","0","510","4","10","10997"
"OXALIDACEAE","Oxalis","bowiei","Oxalis bowiei","Red flower woodsorrel","non-native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb","Perennial","93","36","55","","","4","6","10165"
"OXALIDACEAE","Oxalis","californica","Oxalis californica","Californica wood sorrel","native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb","Perennial","90","38","50","5","1830","2","6","10998"
"OXALIDACEAE","Oxalis","corniculata","Oxalis corniculata","Creeping wood sorrel","non-native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb","Perennial","94","28","59","0","1870","1","12","6010"
"OXALIDACEAE","Oxalis","incarnata","Oxalis incarnata","Crimson woodsorrel","non-native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb","Perennial","86","40","46","0","620","3","6","6012"
"OXALIDACEAE","Oxalis","latifolia","Oxalis latifolia","Mexican oxalis","non-native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb","Perennial","91","38","53","5","500","","","6013"
"OXALIDACEAE","Oxalis","micrantha","Oxalis micrantha","Dwarf woodsorrel","non-native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Annual herb","Annual","97","36","60","10","710","4","6","11003"
"OXALIDACEAE","Oxalis","oregana","Oxalis oregana","Redwood sorrel","native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb","Perennial","89","34","54","0","910","2","6","6015"
"OXALIDACEAE","Oxalis","pes-caprae","Oxalis pes-caprae","Bermuda buttercup","non-native invasive","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb","Perennial","96","36","58","-1","1340","12","6","6016"
"OXALIDACEAE","Oxalis","pilosa","Oxalis pilosa","Hairy wood sorrel","native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Annual herb","Annual","89","30","55","0","2000","2","9","11895"
"OXALIDACEAE","Oxalis","purpurea","Oxalis purpurea","Purple oxalis","non-native","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb","Perennial","87","38","49","0","450","1","2","6017"
"PRIMULACEAE","Primula","clevelandii","Primula clevelandii","Padre's shooting star","native","Possible skin irritation from touching any part of this plant.","Perennial herb","Perennial","96","32","61","0","2280","3","4","13218"
"PRIMULACEAE","Primula","clevelandii","Primula clevelandii var. clevelandii","Cleveland's shooting star","native","Possible skin irritation from touching any part of this plant.","Perennial herb","Perennial","91","34","53","30","2280","3","4","13219"
"PRIMULACEAE","Primula","clevelandii","Primula clevelandii var. gracilis","Padre's shooting star","native","Possible skin irritation from touching any part of this plant.","Perennial herb","Perennial","87","38","48","35","2280","3","4","13220"
"PRIMULACEAE","Primula","clevelandii","Primula clevelandii var. insularis","Padre's shooting star","native","Possible skin irritation from touching any part of this plant.","Perennial herb","Perennial","89","36","54","40","820","3","4","13221"
"PRIMULACEAE","Primula","clevelandii","Primula clevelandii var. patula","Padre's shooting star","native","Possible skin irritation from touching any part of this plant.","Perennial herb","Perennial","96","34","60","30","1380","3","4","13222"
"PRIMULACEAE","Primula","hendersonii","Primula hendersonii","Mosquito bill","native","Possible skin irritation from touching any part of this plant.","Perennial herb","Perennial","96","20","61","0","2810","2","4","13225"
"EUPHORBIACEAE","Ricinus","communis","Ricinus communis","Castor bean","non-native invasive","Possible skin irritation from touching the young leaf or seed of this plant.<br>Do not eat the young leaf or seed of this plant.","Shrub","Perennial","105","36","61","-2","1390","1","12","7153"
"POLYGONACEAE","Rumex","acetosella","Rumex acetosella","Sheep sorrel","non-native invasive","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","93","10","60","0","2800","3","11","7213"
"POLYGONACEAE","Rumex","californicus","Rumex californicus","California dock","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","93","10","64","0","3250","5","9","11058"
"POLYGONACEAE","Rumex","conglomeratus","Rumex conglomeratus","Green dock","non-native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","96","26","59","0","2260","5","8","7214"
"POLYGONACEAE","Rumex","crassus","Rumex crassus","Willow leaved dock","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","81","40","40","0","410","2","7","11059"
"POLYGONACEAE","Rumex","crispus","Rumex crispus","Curly dock","non-native invasive","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","97","16","65","0","2800","1","12","7215"
"POLYGONACEAE","Rumex","dentatus","Rumex dentatus","Toothed dock","non-native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Annual, Perennial herb","Annual","95","34","59","0","2150","5","9","7216"
"POLYGONACEAE","Rumex","fueginus","Rumex fueginus","Golden dock","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Annual, Perennial herb","Annual","91","22","60","0","3230","5","8","10679"
"POLYGONACEAE","Rumex","hymenosepalus","Rumex hymenosepalus","Wild rhubarb","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","102","30","67","30","1840","1","5","7217"
"POLYGONACEAE","Rumex","kerneri","Rumex kerneri","Kerner's dock","non-native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","95","34","60","0","890","4","6","7218"
"POLYGONACEAE","Rumex","obtusifolius","Rumex obtusifolius","Broadleaf dock","non-native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","94","24","59","0","2190","6","12","7220"
"POLYGONACEAE","Rumex","occidentalis","Rumex occidentalis","Western dock","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","86","18","64","0","1530","5","8","7221"
"POLYGONACEAE","Rumex","persicarioides","Rumex persicarioides","Golden dock","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Annual, Perennial herb","Annual","85","20","64","","","6","8","10681"
"POLYGONACEAE","Rumex","pulcher","Rumex pulcher","Fiddleleaf dock","non-native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","94","34","57","0","1780","5","9","7224"
"POLYGONACEAE","Rumex","salicifolius","Rumex salicifolius","Willow leaved dock","native","Possible skin irritation from touching the leaf of this plant.<br>Do not eat the leaf of this plant.","Perennial herb","Perennial","96","14","63","0","3100","6","9","7225"
"ARACEAE","Zantedeschia","aethiopica","Zantedeschia aethiopica","Callalily","non-native invasive","Possible skin irritation from touching any part of this plant.<br>Do not eat any part of this plant.","Perennial herb","Perennial","90","38","50","0","1280","3","6","8380"
