"Family","Genus","Species","Taxon","Common Name","Native Status","effectm partm of this plant.","Lifeform","Duration","July High Temp","Dec Low Temp","Temp Range","Lower Elevation","Upper Elevation","Start Bloom Month","End Bloom Month","Calrecnum"
"PTERIDACEAE","Adiantum","jordanii","Adiantum jordanii","Adiantum","native","","Fern","Perennial","94","32","59","0","2230","","","102"
"POACEAE","Aegilops","cylindrica","Aegilops cylindrica","Jointed goatgrass","non-native invasive","","Annual grass","Annual","93","20","64","20","2020","5","7","105"
"SAPINDACEAE","Aesculus","californica","Aesculus californica","Buckeye","native","Do not eat the seed, leaf or flower of this plant.","Tree","Perennial","98","30","61","0","2130","5","7","111"
"LILIACEAE","Agapanthus","praecox","Agapanthus praecox","African lily","non-native","","Perennial herb","Perennial","82","40","41","10","210","","","8629"
"LAMIACEAE","Agastache","urticifolia","Agastache urticifolia","Horse mint","native","","Perennial herb","Perennial","90","14","65","70","2790","5","6","113"
"AGAVACEAE","Agave","americana","Agave americana","American century plant","non-native","Possible skin irritation from touching the leaf or sap of this plant.<br>Do not eat the leaf or sap of this plant.","Shrub","Perennial","92","38","53","0","1420","","","9006"
"AGAVACEAE","Agave","americana","Agave americana ssp. americana","American century plant","non-native","Possible skin irritation from touching the leaf or sap of this plant.<br>Do not eat the leaf or sap of this plant.","Shrub","Perennial","84","38","44","0","250","","","9004"
"ASTERACEAE","Ageratina","adenophora","Ageratina adenophora","Thoroughwort","non-native invasive","","Perennial herb","Perennial","90","38","46","-6","1520","4","8","117"
"ASTERACEAE","Agoseris","apargioides","Agoseris apargioides","Coast dandelion","native","","Perennial herb","Perennial","86","38","49","0","740","5","8","121"
"ASTERACEAE","Agoseris","grandiflora","Agoseris grandiflora","Giant mountain dandelion","native","","Perennial herb","Perennial","95","18","63","0","2470","3","5","131"
"ASTERACEAE","Agoseris","grandiflora","Agoseris grandiflora var. grandiflora","Giant mountain dandelion","native","","Perennial herb","Perennial","92","20","60","0","2120","3","5","10490"
"ASTERACEAE","Agoseris","heterophylla","Agoseris heterophylla","Mountain dandelion","native","","Annual herb","Annual","96","18","65","0","2570","4","7","132"
"ASTERACEAE","Agoseris","heterophylla","Agoseris heterophylla var. cryptopleura","Mountain dandelion","native","","Annual herb","Annual","93","32","60","45","1870","4","7","10758"
"ASTERACEAE","Agoseris","heterophylla","Agoseris heterophylla var. heterophylla","Annual agoseris","native","","Annual herb","Annual","93","18","63","25","2530","4","7","9654"
"ASTERACEAE","Agoseris","retrorsa","Agoseris retrorsa","Spear leaved agoseris","native","","Perennial herb","Perennial","96","18","64","200","2900","4","6","133"
"POACEAE","Agropyron","cristatum","Agropyron cristatum","Crested wheatgrass","non-native","","Perennial grass","Perennial","87","14","68","1290","2680","6","8","9008"
"POACEAE","Agropyron","cristatum","Agropyron cristatum ssp. pectinatum","Crested wheatgrass","non-native","","Perennial grass","Perennial","86","14","66","1290","2680","6","8","9007"
"CARYOPHYLLACEAE","Agrostemma","githago","Agrostemma githago","Common corncockle","non-native","","Annual, Perennial herb","Annual","95","24","64","","","","","137"
"POACEAE","Agrostis","capillaris","Agrostis capillaris","Colonial bentgrass","non-native","","Perennial grass","Perennial","89","20","60","0","2200","7","8","140"
"POACEAE","Agrostis","exarata","Agrostis exarata","Bentgrass","native","","Perennial grass","Perennial","95","14","65","0","3020","5","6","143"
"POACEAE","Agrostis","gigantea","Agrostis gigantea","Creeping bentgras","non-native","","Perennial grass","Perennial","89","12","62","0","2630","4","5","145"
"POACEAE","Agrostis","hooveri","Agrostis hooveri","Hoover's bent grass","rare","","Perennial grass","Perennial","80","40","40","65","420","4","7","148"
"POACEAE","Agrostis","microphylla","Agrostis microphylla","Little leaf bentgrass","native","","Annual grass","Annual","94","36","57","20","700","5","7","151"
"POACEAE","Agrostis","pallens","Agrostis pallens","Diego bent grass","native","","Perennial grass","Perennial","90","14","64","0","3020","4","5","153"
"POACEAE","Agrostis","stolonifera","Agrostis stolonifera","Redtop","non-native invasive","","Perennial grass","Perennial","92","14","64","0","2400","7","8","156"
"POACEAE","Agrostis","tandilensis","Agrostis tandilensis","Kennedy's bentgrass","non-native","","Annual grass","Annual","","","","","","4","5","157"
"SIMAROUBACEAE","Ailanthus","altissima","Ailanthus altissima","Tree of heaven","non-native invasive","Possible skin irritation from touching the leaf or flower of this plant.","Tree","Perennial","96","28","63","0","2090","5","6","161"
"POACEAE","Aira","caryophyllea","Aira caryophyllea","Silvery hairgrass","non-native","","Annual grass","Annual","97","26","61","0","2070","5","8","162"
"POACEAE","Aira","elegans","Aira elegans","Elegant hair grass","non-native","","Annual grass","Annual","84","38","46","0","1730","4","5","11316"
"FABACEAE","Albizia","lophantha","Albizia lophantha","Stink bean","non-native invasive","","Tree, Shrub","Perennial","86","40","40","0","1260","5","7","165"
"MALVACEAE","Alcea","rosea","Alcea rosea","Holly hock","non-native","","Perennial herb","Perennial","92","34","57","10","1830","6","8","166"
"ALISMATACEAE","Alisma","triviale","Alisma triviale","Northern water plantain","native","","Perennial herb (aquatic)","Perennial","94","24","61","0","2330","7","11","9659"
"CHENOPODIACEAE","Allenrolfea","occidentalis","Allenrolfea occidentalis","Iodine bush","native","","Shrub","Perennial","114","24","74","-85","1330","7","11","171"
"ALLIACEAE","Allium","amplectens","Allium amplectens","Narrow leaved onion","native","","Perennial herb (bulb)","Perennial","96","20","62","15","2400","3","7","175"
"ALLIACEAE","Allium","burlewii","Allium burlewii","Burlew's onion","native","","Perennial herb (bulb)","Perennial","90","20","58","910","2650","4","7","184"
"ALLIACEAE","Allium","campanulatum","Allium campanulatum","Dusky onion","native","","Perennial herb (bulb)","Perennial","94","14","65","390","2870","6","8","185"
"ALLIACEAE","Allium","cepa","Allium cepa","Garden onion","non-native","","Perennial herb (bulb)","Perennial","91","34","54","0","90","7","8","8630"
"ALLIACEAE","Allium","crispum","Allium crispum","Crinkled onion","native","","Perennial herb (bulb)","Perennial","95","32","61","120","1000","3","6","187"
"ALLIACEAE","Allium","diabolense","Allium diabolense","Diablo onion","native","","Perennial herb (bulb)","Perennial","92","32","57","490","1440","4","6","189"
"ALLIACEAE","Allium","fimbriatum","Allium fimbriatum","Wild onion","native","","Perennial herb (bulb)","Perennial","99","24","67","210","2570","4","6","192"
"ALLIACEAE","Allium","fimbriatum","Allium fimbriatum var. fimbriatum","Fringed onion","native","","Perennial herb (bulb)","Perennial","97","26","65","330","2670","4","6","193"
"ALLIACEAE","Allium","haematochiton","Allium haematochiton","Red skinned onion","native","","Perennial herb (bulb)","Perennial","92","38","51","10","1660","3","5","196"
"ALLIACEAE","Allium","howellii","Allium howellii","Howell's onion","native","","Perennial herb (bulb)","Perennial","95","24","65","340","1920","4","6","199"
"ALLIACEAE","Allium","howellii","Allium howellii var. clokeyi","Mt. pinos onion","rare","","Perennial herb (bulb)","Perennial","90","24","64","1120","2120","4","6","200"
"ALLIACEAE","Allium","lacunosum","Allium lacunosum","Pitted onion","native","","Perennial herb (bulb)","Perennial","98","28","64","30","2330","4","6","205"
"ALLIACEAE","Allium","lacunosum","Allium lacunosum var. lacunosum","Pitted onion","native","","Perennial herb (bulb)","Perennial","89","38","50","30","2330","4","6","208"
"ALLIACEAE","Allium","lacunosum","Allium lacunosum var. micranthum","White fringed onion","native","","Perennial herb (bulb)","Perennial","94","34","61","400","870","4","6","209"
"ALLIACEAE","Allium","monticola","Allium monticola","San bernardino mountain onion","native","","Perennial herb (bulb)","Perennial","86","28","56","1670","2300","5","7","212"
"ALLIACEAE","Allium","neapolitanum","Allium neapolitanum","White garlic","non-native","","Perennial herb (bulb)","Perennial","92","38","54","0","260","3","4","214"
"ALLIACEAE","Allium","peninsulare","Allium peninsulare","Mexicali onion","native","","Perennial herb (bulb)","Perennial","97","28","62","40","2080","5","6","223"
"ALLIACEAE","Allium","peninsulare","Allium peninsulare var. peninsulare","Mexicali onion","native","","Perennial herb (bulb)","Perennial","97","28","62","110","1980","5","6","225"
"ALLIACEAE","Allium","praecox","Allium praecox","Early onion","native","","Perennial herb (bulb)","Perennial","91","38","50","20","1640","3","5","227"
"ALLIACEAE","Allium","triquetrum","Allium triquetrum","White flowered onion","non-native","","Perennial herb (bulb)","Perennial","92","38","55","0","620","3","4","238"
"POLEMONIACEAE","Allophyllum","divaricatum","Allophyllum divaricatum","Purple false gilia","native","","Annual herb","Annual","94","24","61","120","2550","4","6","244"
"POLEMONIACEAE","Allophyllum","gilioides","Allophyllum gilioides","Dense false gilia","native","","Annual herb","Annual","96","14","64","160","2650","4","7","245"
"POLEMONIACEAE","Allophyllum","gilioides","Allophyllum gilioides ssp. gilioides","Dense false gilia","native","","Annual herb","Annual","96","20","63","130","2530","4","7","246"
"POLEMONIACEAE","Allophyllum","gilioides","Allophyllum gilioides ssp. violaceum","Dense false gilia","native","","Annual herb","Annual","95","14","63","400","2640","4","7","247"
"POLEMONIACEAE","Allophyllum","glutinosum","Allophyllum glutinosum","Sticky false gilia","native","","Annual herb","Annual","93","30","55","20","1960","4","6","248"
"POLEMONIACEAE","Allophyllum","integrifolium","Allophyllum integrifolium","White allophyllum","native","","Annual herb","Annual","89","18","60","1090","2700","6","7","249"
"BETULACEAE","Alnus","rhombifolia","Alnus rhombifolia","White alder","native","","Tree","Perennial","98","22","61","0","2290","9","11","252"
"ASPHODELACEAE","Aloe","maculata","Aloe maculata","","non-native","Do not eat any part of this plant.","Perennial herb","Perennial","86","40","41","0","380","4","4","11320"
"POTTIACEAE","Aloina","aloides","Aloina aloides","Aloina moss","native","","Moss","Perennial","","","","","","","","12201"
"POTTIACEAE","Aloina","ambigua","Aloina ambigua","","native","","Moss","Perennial","93","38","56","160","270","","","13683"
"POTTIACEAE","Aloina","bifrons","Aloina bifrons","","native","","Moss","Perennial","96","30","64","160","250","","","13684"
"POACEAE","Alopecurus","carolinianus","Alopecurus carolinianus","Carolina foxtail","native","","Annual grass","Annual","95","20","63","110","1480","3","5","259"
"POACEAE","Alopecurus","saccatus","Alopecurus saccatus","Foxtail","native","","Annual grass","Annual","96","26","62","0","870","3","5","263"
"LEUCODONTACEAE","Alsia","californica","Alsia californica","California alsia moss","native","","Moss","Perennial","85","38","45","80","560","","","12202"
"AMARANTHACEAE","Alternanthera","philoxeroides","Alternanthera philoxeroides","Alligator weed","non-native invasive","","Perennial herb","Perennial","96","36","60","0","300","2","3","266"
"AMARANTHACEAE","Amaranthus","albus","Amaranthus albus","Tumbleweed","non-native","","Annual herb","Annual","100","18","67","0","2480","4","10","271"
"AMARANTHACEAE","Amaranthus","arenicola","Amaranthus arenicola","Sandhill amaranth","non-native","","Annual herb","Annual","","","","","","8","9","272"
"AMARANTHACEAE","Amaranthus","blitoides","Amaranthus blitoides","Prostrate pigweed","native","","Annual herb","Annual","104","16","65","0","2270","5","11","273"
"AMARANTHACEAE","Amaranthus","californicus","Amaranthus californicus","California amaranth","native","","Annual herb","Annual","96","20","63","75","2120","6","8","274"
"AMARANTHACEAE","Amaranthus","cruentus","Amaranthus cruentus","Red amaranth","non-native","","Annual herb","Annual","91","38","51","0","1350","7","10","276"
"AMARANTHACEAE","Amaranthus","deflexus","Amaranthus deflexus","Large fruited amaranth","non-native","","Annual herb","Annual","90","38","52","0","1380","5","11","277"
"AMARANTHACEAE","Amaranthus","hybridus","Amaranthus hybridus","Slim amaranth","non-native","","Annual herb","Annual","93","20","59","0","2090","6","11","280"
"AMARANTHACEAE","Amaranthus","palmeri","Amaranthus palmeri","Palmer's amaranth","native","","Annual herb","Annual","104","28","63","-8","1770","8","11","281"
"AMARANTHACEAE","Amaranthus","powellii","Amaranthus powellii","Powell's amaranth","native","","Annual herb","Annual","93","20","65","0","2180","6","10","282"
"AMARANTHACEAE","Amaranthus","retroflexus","Amaranthus retroflexus","Rough pigweed","non-native","","Annual herb","Annual","96","24","61","0","2120","6","11","283"
"AMARANTHACEAE","Amaranthus","tuberculatus","Amaranthus tuberculatus","Common waterhemp","non-native","","Annual herb","Annual","95","38","57","0","75","7","10","12132"
"AMARANTHACEAE","Amaranthus","tuberculatus","Amaranthus tuberculatus var. rudis","Common waterhemp","non-native","","Annual herb","Annual","","","","","","7","10","11323"
"AMARYLLIDACEAE","Amaryllis","belladonna","Amaryllis belladonna","Naked lady","non-native","Do not eat the underground parts of this plant.","Perennial herb","Perennial","92","38","53","0","1340","8","9","8632"
"ASTERACEAE","Amblyopappus","pusillus","Amblyopappus pusillus","Pineapple weed","native","","Annual herb","Annual","85","42","39","0","1420","3","6","287"
"AMBLYSTEGIACEAE","Amblystegium","serpens","Amblystegium serpens","","native","","Moss","Perennial","82","12","57","","","","","13685"
"ASTERACEAE","Ambrosia","acanthicarpa","Ambrosia acanthicarpa","Annual burrweed","native","","Annual herb","Annual","105","14","70","5","2730","9","11","288"
"ASTERACEAE","Ambrosia","artemisiifolia","Ambrosia artemisiifolia","Annual ragweed","non-native","","Annual herb","Annual","95","26","60","0","1380","7","10","290"
"ASTERACEAE","Ambrosia","chamissonis","Ambrosia chamissonis","Silver beachweed","native","","Perennial herb","Perennial","77","40","33","-1","350","6","7","292"
"ASTERACEAE","Ambrosia","confertiflora","Ambrosia confertiflora","Weak leaved burweed","native","","Perennial herb","Perennial","93","32","59","0","1770","5","11","294"
"ASTERACEAE","Ambrosia","psilostachya","Ambrosia psilostachya","Ragweed","native","","Perennial herb","Perennial","98","30","63","0","2180","7","11","298"
"ASTERACEAE","Ambrosia","salsola","Ambrosia salsola","Burrobrush","native","","Shrub","Perennial","110","20","74","-19","2280","3","4","10768"
"ASTERACEAE","Ambrosia","salsola","Ambrosia salsola var. salsola","Burrobrush","native","","Shrub","Perennial","108","18","74","-10","2000","2","6","10767"
"ROSACEAE","Amelanchier","pallida","Amelanchier pallida","Pallid service berry","native","","Shrub","Perennial","87","16","62","0","2800","5","6","303"
"ROSACEAE","Amelanchier","utahensis","Amelanchier utahensis","Pale leaved serviceberry","native","","Shrub","Perennial","95","14","64","0","2950","4","6","304"
"LYTHRACEAE","Ammannia","coccinea","Ammannia coccinea","Red ammannia","native","","Annual herb","Annual","97","34","60","0","1530","7","8","306"
"LYTHRACEAE","Ammannia","robusta","Ammannia robusta","Grand ammania","native","","Annual herb","Annual","97","34","60","0","1350","6","8","307"
"APIACEAE","Ammi","majus","Ammi majus","Bishop's weed","non-native","","Annual, Biennial herb","Annual","83","38","43","0","2280","5","7","308"
"APIACEAE","Ammi","visnaga","Ammi visnaga","Bisnaga","non-native","","Annual, Biennial herb","Annual","93","38","55","0","80","6","7","309"
"POACEAE","Ammophila","arenaria","Ammophila arenaria","European beachgrass","non-native invasive","","Perennial grass","Perennial","70","40","27","0","350","3","5","310"
"FABACEAE","Amorpha","californica","Amorpha californica","False indigo","native","","Shrub","Perennial","96","22","60","45","2350","4","7","313"
"FABACEAE","Amorpha","californica","Amorpha californica var. californica","California false indigo","native","","Shrub","Perennial","93","22","59","80","2330","4","7","314"
"RHABDOWEISIACEAE","Amphidium","californicum","Amphidium californicum","","native","","Moss","Perennial","88","18","52","","","","","13687"
"BORAGINACEAE","Amsinckia","douglasiana","Amsinckia douglasiana","Douglas' fiddleneck","rare","","Annual herb","Annual","96","32","61","180","1830","3","5","321"
"BORAGINACEAE","Amsinckia","intermedia","Amsinckia intermedia","Common fiddleneck","native","","Annual herb","Annual","101","20","64","0","2230","2","6","11324"
"BORAGINACEAE","Amsinckia","lycopsoides","Amsinckia lycopsoides","Tarweed fiddleneck","native","","Annual herb","Annual","95","32","61","0","610","5","6","325"
"BORAGINACEAE","Amsinckia","menziesii","Amsinckia menziesii","Fiddleneck","native","","Annual herb","Annual","102","18","67","0","2280","3","5","326"
"BORAGINACEAE","Amsinckia","retrorsa","Amsinckia retrorsa","Rigid fiddleneck","native","","Annual herb","Annual","98","20","64","20","2150","2","5","11325"
"BORAGINACEAE","Amsinckia","spectabilis","Amsinckia spectabilis","Seaside fiddleneck","native","","Annual herb","Annual","78","40","37","0","310","4","5","329"
"BORAGINACEAE","Amsinckia","spectabilis","Amsinckia spectabilis var. microcarpa","Small fruit seaside fiddleneck","native","","Annual herb","Annual","75","40","34","0","220","4","5","330"
"BORAGINACEAE","Amsinckia","spectabilis","Amsinckia spectabilis var. spectabilis","Seaside fiddleneck","native","","Annual herb","Annual","73","40","32","0","270","4","5","331"
"BORAGINACEAE","Amsinckia","tessellata","Amsinckia tessellata","Devil's lettuce","native","","Annual herb","Annual","106","18","72","0","2360","3","6","332"
"BORAGINACEAE","Amsinckia","tessellata","Amsinckia tessellata var. gloriosa","Large flowered devil's fiddleneck","native","","Annual herb","Annual","95","32","62","410","1000","3","6","333"
"BORAGINACEAE","Amsinckia","tessellata","Amsinckia tessellata var. tessellata","Devil's lettuce","native","","Annual herb","Annual","103","18","72","0","2390","2","6","334"
"BORAGINACEAE","Amsinckia","vernicosa","Amsinckia vernicosa","Green fiddleneck","native","","Annual herb","Annual","97","32","63","150","1660","3","5","335"
"BARTRAMIACEAE","Anacolia","baueri","Anacolia baueri","","native","","Moss","Perennial","92","30","55","","","","","13690"
"BARTRAMIACEAE","Anacolia","menziesii","Anacolia menziesii","","native","","Moss","Perennial","93","26","57","400","990","","","13691"
"ASTERACEAE","Anaphalis","margaritacea","Anaphalis margaritacea","Pearly everlasting","native","","Perennial herb","Perennial","96","14","61","0","2750","6","8","341"
"ASTERACEAE","Ancistrocarphus","filagineus","Ancistrocarphus filagineus","Woolly fishhooks","native","","Annual herb","Annual","95","20","64","0","1760","3","5","345"
"ASTERACEAE","Ancistrocarphus","keilii","Ancistrocarphus keilii","Santa ynez groundstar","rare","","Annual herb","Annual","","","","","","3","4","8877"
"POACEAE","Andropogon","glomeratus","Andropogon glomeratus","Bushy bluestem","native","","Perennial grass","Perennial","110","30","74","70","2280","8","9","9673"
"POACEAE","Andropogon","glomeratus","Andropogon glomeratus var. scabriglumis","Beardgrass","native","","Perennial grass","Perennial","109","32","73","85","2280","8","9","346"
