Family,Genus,Species,Taxon,Common Name,Native Status,effectm partm of this plant.,Lifeform,Duration,July High Temp,Dec Low Temp,Temp Range,Lower Elevation,Upper Elevation,Start Bloom Month,End Bloom Month,Calrecnum,Toxic parts,Toxic part 1,Toxic part 2,Toxic part 3,Toxins,Toxin 1,Toxin 2
POLEMONIACEAE,Allophyllum,gilioides,Allophyllum gilioides,Dense false gilia,native,NA,Annual herb,Annual,96,14,64,160,2650,4,7,245,NA,NA,NA,NA,NA,NA,NA
POLEMONIACEAE,Allophyllum,gilioides,Allophyllum gilioides ssp. gilioides,Dense false gilia,native,NA,Annual herb,Annual,96,20,63,130,2530,4,7,246,NA,NA,NA,NA,NA,NA,NA
POLEMONIACEAE,Allophyllum,gilioides,Allophyllum gilioides ssp. violaceum,Dense false gilia,native,NA,Annual herb,Annual,95,14,63,400,2640,4,7,247,NA,NA,NA,NA,NA,NA,NA
POLEMONIACEAE,Allophyllum,glutinosum,Allophyllum glutinosum,Sticky false gilia,native,NA,Annual herb,Annual,93,30,55,20,1960,4,6,248,NA,NA,NA,NA,NA,NA,NA
POLEMONIACEAE,Allophyllum,integrifolium,Allophyllum integrifolium,White allophyllum,native,NA,Annual herb,Annual,89,18,60,1090,2700,6,7,249,NA,NA,NA,NA,NA,NA,NA
BETULACEAE,Alnus,rhombifolia,Alnus rhombifolia,White alder,native,NA,Tree,Perennial,98,22,61,0,2290,9,11,252,NA,NA,NA,NA,NA,NA,NA
ASPHODELACEAE,Aloe,maculata,Aloe maculata,NA,non-native,Do not eat any part of this plant.,Perennial herb,Perennial,86,40,41,0,380,4,4,11320,NA,NA,NA,NA,NA,NA,NA
POTTIACEAE,Aloina,aloides,Aloina aloides,Aloina moss,native,NA,Moss,Perennial,NA,NA,NA,NA,NA,NA,NA,12201,NA,NA,NA,NA,NA,NA,NA
POTTIACEAE,Aloina,ambigua,Aloina ambigua,NA,native,NA,Moss,Perennial,93,38,56,160,270,NA,NA,13683,NA,NA,NA,NA,NA,NA,NA
POTTIACEAE,Aloina,bifrons,Aloina bifrons,NA,native,NA,Moss,Perennial,96,30,64,160,250,NA,NA,13684,NA,NA,NA,NA,NA,NA,NA
POACEAE,Alopecurus,carolinianus,Alopecurus carolinianus,Carolina foxtail,native,NA,Annual grass,Annual,95,20,63,110,1480,3,5,259,NA,NA,NA,NA,NA,NA,NA
POACEAE,Alopecurus,saccatus,Alopecurus saccatus,Foxtail,native,NA,Annual grass,Annual,96,26,62,0,870,3,5,263,NA,NA,NA,NA,NA,NA,NA
LEUCODONTACEAE,Alsia,californica,Alsia californica,California alsia moss,native,NA,Moss,Perennial,85,38,45,80,560,NA,NA,12202,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,Alternanthera,philoxeroides,Alternanthera philoxeroides,Alligator weed,non-native invasive,NA,Perennial herb,Perennial,96,36,60,0,300,2,3,266,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,Amaranthus,albus,Amaranthus albus,Tumbleweed,non-native,NA,Annual herb,Annual,100,18,67,0,2480,4,10,271,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,Amaranthus,arenicola,Amaranthus arenicola,Sandhill amaranth,non-native,NA,Annual herb,Annual,NA,NA,NA,NA,NA,8,9,272,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,Amaranthus,blitoides,Amaranthus blitoides,Prostrate pigweed,native,NA,Annual herb,Annual,104,16,65,0,2270,5,11,273,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,Amaranthus,californicus,Amaranthus californicus,California amaranth,native,NA,Annual herb,Annual,96,20,63,75,2120,6,8,274,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,Amaranthus,cruentus,Amaranthus cruentus,Red amaranth,non-native,NA,Annual herb,Annual,91,38,51,0,1350,7,10,276,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,Amaranthus,deflexus,Amaranthus deflexus,Large fruited amaranth,non-native,NA,Annual herb,Annual,90,38,52,0,1380,5,11,277,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,Amaranthus,hybridus,Amaranthus hybridus,Slim amaranth,non-native,NA,Annual herb,Annual,93,20,59,0,2090,6,11,280,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,Amaranthus,palmeri,Amaranthus palmeri,Palmer's amaranth,native,NA,Annual herb,Annual,104,28,63,-8,1770,8,11,281,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,Amaranthus,powellii,Amaranthus powellii,Powell's amaranth,native,NA,Annual herb,Annual,93,20,65,0,2180,6,10,282,NA,NA,NA,NA,NA,NA,NA
